Tamaño del globo,Tipo de soluto,Tiempo (s) de resistencia
R12,Agua con azucar,1018
R12,Agua con azucar,1071
R9,Agua con azucar,898
R9,Agua con azucar,718
R12,Agua con sal,1062
R12,Agua con sal,1164
R9,Agua con sal,792
R9,Agua con sal,735
R9,Agua con azucar,828
R12,Agua con azucar,638
R12,Agua con azucar,917
R9,Agua con azucar,691
R9,Agua con azucar,1401
R12,Agua con sal,705
R12,Agua con sal,1051
R9,Agua con sal,1055
R9,Agua con sal,868
R12,Agua con azucar,1238
R12,Agua con azucar,1133
R9,Agua con azucar,1125
R9,Agua con azucar,965
R12,Agua con sal,940
R12,Agua con sal,963
R9,Agua con sal,1202
R9,Agua con sal,1043